pos,cog_axis,cog_value,unity_time,unity_state,unity_av,unity_mav,unity_lv,unity_mlv
4/7/7/7/7/7/7/7/7 3 3,X,2,0.8400002,PLANE,0.3312686,7,0.2590522,1E+16
1/7/7/7/7/7/7/7/7 3 3,X,-2,0.8000031,PLANE,0.4682844,7,0.2971715,1E+16
7/4/7/7/7/7/7/7/7 3 3,Z,2,0.7399902,BLOCK,0.588881,7,0.416032,1E+16
7/1/7/7/7/7/7/7/7 3 3,Z,-2,0.7399902,BLOCK,0.5633675,7,0.3398598,1E+16
7/7/4/7/7/7/7/7/7 3 3,X,2,0.6799927,BLOCK,0.5786305,7,0.4809428,1E+16
7/7/1/7/7/7/7/7/7 3 3,X,-2,0.7000122,BLOCK,0.559902,7,0.6229395,1E+16
7/7/3/3/7/7/7/7/7 3 3,X,-0.5,300.02,TIMEOUT,0.002828898,7,0.0006463806,1E+16
7/7/7/4/7/7/7/7/7 3 3,Z,2,0.5999756,BLOCK,0.6357532,7,0.5633857,1E+16
7/7/7/1/7/7/7/7/7 3 3,Z,-2,0.5999756,BLOCK,0.617683,7,0.5769967,1E+16
7/7/7/7/4/7/7/7/7 3 3,X,2,0.5200195,BLOCK,0.6384497,7,0.726358,1E+16
7/7/7/7/1/7/7/7/7 3 3,X,-2,0.460083,BLOCK,0.7618376,7,0.6011446,1E+16
7/7/7/7/7/4/7/7/7 3 3,Z,2,0.4399414,BLOCK,0.9247412,7,0.7572137,1E+16
7/7/7/7/7/1/7/7/7 3 3,Z,-2,0.4399414,BLOCK,0.9033852,7,0.7813211,1E+16
7/7/7/7/7/7/4/7/7 3 3,X,2,0.3999023,BLOCK,0.6697994,7,0.7347115,1E+16
7/7/7/7/7/7/1/7/7 3 3,X,-2,0.4000244,BLOCK,0.4418017,7,0.6543652,1E+16
7/7/7/7/7/7/7/4/7 3 3,Z,2,0.3800049,BLOCK,0.134399,7,0.3086903,1E+16
7/7/7/7/7/7/7/1/7 3 3,Z,-2,0.3598633,BLOCK,0.4167617,7,0.4708989,1E+16
