pos,cog_axis,cog_value,unity_time,unity_state,unity_av,unity_mav,unity_lv,unity_mlv
7/5/6/5/3/7/7/6/7 3 3,X,0.5666666666666666666666666666,1.125,SLEEP,0,7,0,1E+16
7/5/6/5/3/7/7/5/7 3 3,X,0.5666666666666666666666666666,3.125,SLEEP,0,7,0,1E+16
7/5/6/5/3/7/7/3/7 3 3,X,0.5666666666666666666666666666,1.875,SLEEP,0,7,0,1E+16
7/5/6/5/3/7/7/7/6 3 3,X,-0.5909090909090909090909090909,1.625,SLEEP,0,7,0,1E+16
7/5/6/5/3/7/7/7/5 3 3,X,0.5666666666666666666666666666,2.625,SLEEP,0,7,0,1E+16
7/5/6/5/3/7/7/7/3 3 3,X,0.6333333333333333333333333333,3.75,SLEEP,0,7,0,1E+16
7/5/6/5/7/2/7/7/7 3 3,X,0.5,3.375,SLEEP,0,7,0,1E+16
7/5/6/5/7/6/6/7/7 3 3,Z,0.5,2.625,SLEEP,0,7,0,1E+16
7/5/6/5/7/6/5/7/7 3 3,X,0.5,3.875,SLEEP,0,7,0,1E+16
7/5/6/5/7/6/3/7/7 3 3,X,0.5666666666666666666666666666,3.5,SLEEP,0,7,0,1E+16
7/5/6/5/7/6/7/6/7 3 3,X,0.5,4.25,SLEEP,0,7,0,1E+16
7/5/6/5/7/6/7/5/7 3 3,X,0.5,2.5,SLEEP,0,7,0,1E+16
7/5/6/5/7/6/7/3/7 3 3,Z,0.625,2.875,SLEEP,0,7,0,1E+16
7/5/6/5/7/6/7/7/6 3 3,Z,0.5,2.875,SLEEP,0,7,0,1E+16
7/5/6/5/7/6/7/7/5 3 3,X,0.5,3.125,SLEEP,0,7,0,1E+16
7/5/6/5/7/6/7/7/3 3 3,X,0.5666666666666666666666666666,4.125,SLEEP,0,7,0,1E+16
7/5/6/5/7/5/6/7/7 3 3,X,0.5,2.25,SLEEP,0,7,0,1E+16
7/5/6/5/7/5/5/7/7 3 3,X,0.5,3.125,SLEEP,0,7,0,1E+16
7/5/6/5/7/5/3/7/7 3 3,X,0.5666666666666666666666666666,2.5,SLEEP,0,7,0,1E+16
7/5/6/5/7/5/7/6/7 3 3,X,0.5,3.875,SLEEP,0,7,0,1E+16
7/5/6/5/7/5/7/5/7 3 3,X,0.5,1.5,SLEEP,0,7,0,1E+16
7/5/6/5/7/5/7/3/7 3 3,X,0.5,3.125,SLEEP,0,7,0,1E+16
7/5/6/5/7/5/7/7/6 3 3,X,0.4333333333333333333333333334,0.75,SLEEP,0,7,0,1E+16
7/5/6/5/7/5/7/7/5 3 3,X,0.5,2.5,SLEEP,0,7,0,1E+16
7/5/6/5/7/5/7/7/3 3 3,X,0.5666666666666666666666666666,3.875,SLEEP,0,7,0,1E+16
7/5/6/5/7/3/6/7/7 3 3,Z,-0.5,0.75,SLEEP,0,7,0,1E+16
7/5/6/5/7/3/5/7/7 3 3,X,0.5,2.625,SLEEP,0,7,0,1E+16
