board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
3/3/7/2/6/7/7/7/4 3 3,X,-0.6111111111111111111111111111,302,TIMEOUT,Z,0.1914704,0.1081626
3/3/7/6/4/7/7/7/4 3 3,X,1.8,0,BLOCK,X,0.5168313,0.511242
3/3/7/6/6/7/5/7/4 3 3,X,-0.6111111111111111111111111111,302,TIMEOUT,Z,0.1569167,0.09314289
3/3/7/6/6/7/7/6/4 3 3,Z,-0.625,302,TIMEOUT,Z,0.09976399,0.04969966
3/3/7/4/6/7/7/7/1 3 3,Z,2,0,BLOCK,Z,0.7203486,0.8196317
3/3/7/6/4/7/7/7/1 3 3,X,2.2,0,BLOCK,X,0.4727244,0.7389662
3/3/7/6/6/7/6/7/1 3 3,X,0.75,302,TIMEOUT,Z,0.1822983,0.07435729
3/3/7/4/6/7/7/7/2 3 3,Z,2,0,BLOCK,Z,0.5633038,0.690984
3/3/7/6/4/7/7/7/2 3 3,X,2,0,BLOCK,X,0.9501203,0.6982206
3/3/7/4/5/2/7/7/7 3 3,Z,2,2,BLOCK,Z,1.250798,1.110017
3/3/7/6/1/2/7/7/7 3 3,X,-2,2,BLOCK,X,1.033884,0.6271694
3/3/7/4/5/6/6/7/7 3 3,Z,1.8333333333333333333333333334,0,BLOCK,Z,0.07914699,0.7431651
3/3/7/6/1/6/6/7/7 3 3,X,-2.20,0,BLOCK,X,0.4442883,0.4218914
3/3/7/6/5/4/6/7/7 3 3,Z,2,0,BLOCK,Z,1.170888,0.8310999
3/3/7/6/5/6/4/7/7 3 3,X,2,0,BLOCK,X,0.5077627,0.6324122
3/3/7/6/5/6/6/5/7 3 3,Z,-0.625,32,PLANE,X,0.2512135,0.4440248
3/3/3/6/5/6/5/7/7 3 3,Z,-0.625,302,TIMEOUT,Z,0.1567023,0.08853481
3/3/7/4/5/6/5/7/7 3 3,Z,1.8333333333333333333333333334,0,BLOCK,Z,0.261489,0.6590925
3/3/7/6/1/6/5/7/7 3 3,X,-2,0,BLOCK,X,0.7009712,0.6792489
3/3/7/6/5/4/5/7/7 3 3,Z,2,0,BLOCK,Z,0.7113606,0.8684675
3/3/7/6/5/6/1/7/7 3 3,X,-2,0,BLOCK,X,0.4749485,0.5886509
3/3/7/4/5/6/3/7/7 3 3,Z,1.8333333333333333333333333334,0,BLOCK,Z,0.1319168,0.6781718
3/3/7/6/1/6/3/7/7 3 3,X,-1.80,2,BLOCK,X,0.854376,0.5536656
3/3/7/6/5/4/3/7/7 3 3,Z,2,0,BLOCK,Z,0.7227376,0.6592212
3/3/7/6/5/6/3/5/7 3 3,Z,-0.625,302,TIMEOUT,Z,0.07091001,0.02922225
3/3/7/4/5/6/7/5/7 3 3,Z,1.8333333333333333333333333334,0,BLOCK,Z,0.2408966,0.7722093
3/3/7/6/1/6/7/5/7 3 3,X,-2,0,BLOCK,X,0.6415457,0.6481471
3/3/7/6/5/4/7/5/7 3 3,Z,2,0,BLOCK,Z,0.6578565,0.7042679
3/3/7/6/5/6/7/4/7 3 3,Z,2,0,BLOCK,Z,0.3250815,0.4007143
3/3/7/6/5/6/7/1/7 3 3,Z,-2,0,BLOCK,Z,0.6163291,0.6576169
3/3/7/6/5/6/7/5/6 3 3,Z,-0.625,302,TIMEOUT,Z,0.2246366,0.1487418
3/3/7/4/5/6/7/3/7 3 3,Z,2.00,0,BLOCK,Z,0.4207614,0.7695449
3/3/7/6/1/6/7/3/7 3 3,X,-2,0,BLOCK,X,0.5649573,0.6411785
3/3/7/6/5/4/7/3/7 3 3,Z,2.25,0,BLOCK,Z,0.4286755,0.4725499
3/3/7/4/5/6/7/7/5 3 3,Z,1.8333333333333333333333333334,0,BLOCK,Z,0.5930521,0.8240741
3/3/7/6/1/6/7/7/5 3 3,X,-2,2,BLOCK,X,0.9048975,0.6721816
3/3/7/6/5/4/7/7/5 3 3,Z,2,0,BLOCK,Z,0.6004567,0.715771
3/2/7/6/5/6/7/7/3 3 3,Z,0.5,302,TIMEOUT,Z,0.05108698,0.01585872
3/3/7/4/5/6/7/7/3 3 3,Z,1.8333333333333333333333333334,0,BLOCK,Z,0.2871185,0.75625
3/3/7/6/1/6/7/7/3 3 3,X,-1.80,2,BLOCK,X,0.8813868,0.6302952
3/3/7/6/5/4/7/7/3 3 3,Z,2,0,BLOCK,Z,1.075197,0.8423772
3/3/7/4/5/5/5/7/7 3 3,Z,2,0,BLOCK,Z,0.2012807,0.7177638
3/3/7/6/1/5/5/7/7 3 3,X,-2,0,BLOCK,X,0.6707064,0.7217681
3/3/7/6/5/1/5/7/7 3 3,Z,-2,0,BLOCK,Z,0.6062905,0.5943608
3/3/7/6/5/5/4/7/7 3 3,X,2,0,BLOCK,X,0.8424062,0.578522
3/3/7/6/5/5/1/7/7 3 3,X,-2,0,BLOCK,X,0.6451196,0.6856338
2/3/7/6/5/5/3/7/7 3 3,Z,-0.5588235294117647058823529412,302,TIMEOUT,Z,0.1257409,0.09554186
3/3/7/4/5/5/3/7/7 3 3,Z,2,0,BLOCK,Z,0.5453893,0.7357655
3/3/7/6/1/5/3/7/7 3 3,X,-1.80,2,BLOCK,X,0.8806983,0.726365
3/3/7/6/5/1/3/7/7 3 3,Z,-2,0,BLOCK,Z,0.771253,0.481027
3/3/7/4/5/5/7/6/7 3 3,Z,1.8333333333333333333333333334,2,BLOCK,Z,0.9030014,1.260416
3/3/7/6/1/5/7/6/7 3 3,X,-2,0,BLOCK,X,0.5187573,0.6767122
3/3/7/6/5/4/7/6/7 3 3,Z,1.75,0,BLOCK,Z,0.3708116,0.6302992
3/3/7/6/5/1/7/6/7 3 3,Z,-2.25,0,BLOCK,Z,0.5614945,0.38967
3/3/7/6/5/5/7/4/7 3 3,Z,2,0,BLOCK,Z,0.1070964,0.3350494
3/3/7/4/5/5/7/5/7 3 3,Z,2,0,BLOCK,Z,0.5913072,0.8080938
3/3/7/6/1/5/7/5/7 3 3,X,-2,0,BLOCK,X,0.7383353,0.6962512
3/3/7/6/5/1/7/5/7 3 3,Z,-2,0,BLOCK,Z,0.6387055,0.5907104
3/3/7/6/5/5/7/1/7 3 3,Z,-2,2,BLOCK,Z,1.660825,0.963523
3/3/7/4/5/5/7/3/7 3 3,Z,2.1666666666666666666666666666,0,BLOCK,Z,0.5140399,0.853879
3/3/7/6/1/5/7/3/7 3 3,X,-2,0,BLOCK,X,0.7833069,0.6643759
3/3/7/6/5/1/7/3/7 3 3,Z,-1.75,0,BLOCK,Z,0.6149524,0.567964
3/3/7/4/5/5/7/7/6 3 3,Z,2,2,BLOCK,Z,0.8162616,1.026265
3/3/7/6/1/5/7/7/6 3 3,X,-2.20,0,BLOCK,X,0.7747419,0.4236719
3/3/7/6/5/4/7/7/6 3 3,Z,2,0,BLOCK,Z,1.0925,0.8381596
3/3/7/6/5/1/7/7/6 3 3,Z,-2,0,BLOCK,Z,1.004514,0.7692724
3/2/7/6/5/5/7/7/3 3 3,Z,0.5,302,TIMEOUT,Z,0.02973835,0.0197434
3/3/7/4/5/5/7/7/3 3 3,Z,2,0,BLOCK,Z,0.4550107,0.6498619
3/3/7/6/1/5/7/7/3 3 3,X,-1.80,2,BLOCK,X,0.9418287,0.8811644
3/3/7/6/5/1/7/7/3 3 3,Z,-2,0,BLOCK,Z,0.7715023,0.5145054
3/3/7/4/5/3/6/7/7 3 3,Z,2.1666666666666666666666666666,0,BLOCK,Z,0.3798806,0.7039707
3/3/7/2/5/3/6/7/7 3 3,X,-0.5555555555555555555555555556,302,TIMEOUT,Z,0.09376448,0.04617569
3/3/7/6/1/3/6/7/7 3 3,X,-2.20,0,BLOCK,X,0.4348009,0.3913577
3/3/7/6/5/1/6/7/7 3 3,Z,-2,0,BLOCK,Z,0.7831367,0.568327
