board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
7/7/3/6/2/6/7/7/1 3 3,Z,0.5,4,SLEEP,Z,0.02339209,0.05946796
7/7/3/6/2/2/7/7/3 3 3,Z,0.5,2,SLEEP,Z,0.01598954,0.04971563
7/7/3/6/2/5/2/7/7 3 3,X,-0.5,4,SLEEP,Z,0.04386158,0.1288826
7/7/3/6/2/5/6/6/7 3 3,X,-0.5833333333333333333333333333,4,SLEEP,Z,0.06264328,0.3143697
7/7/3/6/2/5/6/5/7 3 3,X,-0.5833333333333333333333333333,4,SLEEP,Z,0.06139214,0.1914174
7/7/3/6/2/5/6/3/7 3 3,Z,0.6,8,SLEEP,Z,0.1200153,0.3547219
7/7/3/6/2/5/6/7/6 3 3,X,-0.6666666666666666666666666667,4,SLEEP,Z,0.09228035,0.3054451
7/7/3/6/2/5/6/7/5 3 3,X,-0.5833333333333333333333333333,6,SLEEP,Z,0.09021913,0.2565742
7/7/3/6/2/5/6/7/3 3 3,X,0.7,2,SLEEP,Z,0.02334402,0.07016906
7/7/3/6/2/5/5/6/7 3 3,X,-0.5,2,SLEEP,Z,0.05603909,0.07272458
7/7/3/6/2/5/5/5/7 3 3,X,-0.5,4,SLEEP,Z,0.069121,0.1875266
7/7/3/6/2/5/5/3/7 3 3,Z,0.6,4,SLEEP,Z,0.03348865,0.1103627
7/7/3/6/2/5/5/7/6 3 3,X,-0.5833333333333333333333333333,6,SLEEP,Z,0.09326519,0.3805745
7/7/3/6/2/5/5/7/5 3 3,X,-0.5,4,SLEEP,Z,0.03962646,0.1322575
7/7/3/6/2/5/5/7/3 3 3,Z,0.5,4,SLEEP,Z,0.02477203,0.0832496
7/7/3/6/2/5/3/6/7 3 3,X,-0.5,2,SLEEP,Z,0.03856133,0.1042082
7/7/3/6/2/5/3/5/7 3 3,Z,0.5,2,SLEEP,Z,0,0
7/7/3/6/2/5/3/3/7 3 3,Z,0.6,4,SLEEP,Z,0.03043982,0.09655017
7/7/3/6/2/5/3/7/6 3 3,X,-0.7,6,SLEEP,Z,0.08854292,0.2217006
7/7/3/6/2/5/3/7/5 3 3,Z,0.5,4,SLEEP,Z,0.03291494,0.09532561
7/7/3/6/2/5/3/7/3 3 3,Z,0.5,4,SLEEP,Z,0.06969282,0.377971
7/7/3/6/2/5/7/2/7 3 3,X,-0.5,6,SLEEP,Z,0.04698662,0.1251
7/7/3/6/2/5/7/6/6 3 3,X,-0.5833333333333333333333333333,6,SLEEP,Z,0.04354272,0.1448232
7/7/3/6/2/5/7/6/5 3 3,X,-0.5,4,SLEEP,Z,0.02289258,0.07774188
7/7/3/6/2/5/7/6/3 3 3,Z,0.5,2,SLEEP,Z,0.02049751,0.07181789
7/7/3/6/2/5/7/5/6 3 3,X,-0.5833333333333333333333333333,6,SLEEP,Z,0.09261598,0.2686998
7/7/3/6/2/5/7/5/5 3 3,X,-0.5,4,SLEEP,Z,0.04070734,0.1010338
7/7/3/6/2/5/7/5/3 3 3,Z,0.5,2,SLEEP,Z,0.01655119,0.06015918
7/7/3/6/2/5/7/3/6 3 3,Z,0.6,6,SLEEP,Z,0.102993,0.2704648
7/7/3/6/2/5/7/3/5 3 3,Z,0.6,6,SLEEP,Z,0.04393742,0.1428562
7/7/3/6/2/5/7/3/3 3 3,Z,0.6,8,SLEEP,Z,0.0436739,0.1411991
7/7/3/6/2/5/7/7/4 3 3,X,-0.5833333333333333333333333333,4,SLEEP,Z,0.04572675,0.1504416
7/7/3/6/2/5/7/7/2 3 3,X,-0.5,4,SLEEP,Z,0.03187624,0.1055495
7/7/3/6/2/5/7/7/1 3 3,Z,0.5,4,SLEEP,Z,0.05312559,0.1340164
7/7/3/6/2/3/2/7/7 3 3,Z,0.6,4,SLEEP,Z,0.0415269,0.1202973
7/7/3/6/2/3/6/6/7 3 3,Z,-0.6428571428571428571428571429,6,SLEEP,Z,0.05695214,0.216878
7/7/3/6/2/3/6/5/7 3 3,Z,0.6,4,SLEEP,Z,0.04059277,0.120128
7/7/3/6/2/3/6/3/7 3 3,Z,0.7000000000000000000000000001,8,SLEEP,Z,0.1378644,0.3965174
7/7/3/6/2/3/6/7/6 3 3,X,-0.6666666666666666666666666667,6,SLEEP,Z,0.07345696,0.234393
7/7/3/6/2/3/6/7/5 3 3,Z,0.6,8,SLEEP,Z,0.06427814,0.2545224
7/7/3/6/2/3/6/7/3 3 3,X,0.7,4,SLEEP,Z,0.03550967,0.1036125
7/7/3/6/2/3/5/6/7 3 3,Z,-0.6428571428571428571428571429,2,SLEEP,Z,0,0
7/7/3/6/2/3/5/5/7 3 3,Z,0.6,4,SLEEP,Z,0.02187927,0.06624135
7/7/3/6/2/3/5/3/7 3 3,Z,0.7000000000000000000000000001,6,SLEEP,Z,0.0710856,0.2293721
7/7/3/6/2/3/5/7/6 3 3,Z,0.6,8,SLEEP,Z,0.09068889,0.3010181
7/7/3/6/2/3/5/7/5 3 3,Z,0.6,6,SLEEP,Z,0.04832482,0.1430166
7/7/3/6/2/3/5/7/3 3 3,Z,0.6,2,SLEEP,Z,0.04371393,0.08171856
7/7/3/6/2/3/3/6/7 3 3,Z,-0.6428571428571428571428571429,6,SLEEP,Z,0.02289816,0.05892146
7/7/3/6/2/3/3/5/7 3 3,Z,0.6,6,SLEEP,Z,0.03735102,0.09459029
7/7/3/6/2/3/3/3/7 3 3,Z,0.7000000000000000000000000001,6,SLEEP,Z,0.0384568,0.123185
7/7/3/6/2/3/3/7/6 3 3,X,-0.7,6,SLEEP,Z,0.05864095,0.1713572
7/7/3/6/2/3/3/7/5 3 3,Z,0.6,2,SLEEP,Z,0.03044399,0.05273359
7/7/3/6/2/3/3/7/3 3 3,Z,0.6,8,SLEEP,Z,0.1024214,0.3940533
7/7/3/6/2/3/7/2/7 3 3,Z,0.6,2,SLEEP,Z,0.0200272,0.06196672
7/7/3/6/2/3/7/6/6 3 3,Z,-0.6428571428571428571428571429,6,SLEEP,Z,0.05702962,0.1704934
7/7/3/6/2/3/7/6/5 3 3,Z,-0.6428571428571428571428571429,4,SLEEP,Z,0.03442982,0.1129207
7/7/3/6/2/3/7/6/3 3 3,Z,-0.6428571428571428571428571429,2,SLEEP,Z,0.006224041,0.01379757
7/7/3/6/2/3/7/5/6 3 3,Z,0.6,6,SLEEP,Z,0.08905409,0.2518016
7/7/3/6/2/3/7/5/5 3 3,Z,0.6,8,SLEEP,Z,0.08413016,0.2161759
7/7/3/6/2/3/7/5/3 3 3,Z,0.6,2,SLEEP,Z,0.01979724,0.05996552
